Length	Frequency
1:	 0.05711331590451292
2:	 0.1914509492992757
3:	 0.2373516050229289
4:	 0.19457420820297433
5:	 0.10109072986756953
6:	 0.07038314833069044
7:	 0.060654437920541725
8:	 0.036220160288004115
9:	 0.023052115030214718
10:	 0.013660909441563451
11:	 0.007087601251446449
12:	 0.004001842883469764
13:	 0.0020250289289847
14:	 6.053657909398705E-4
15:	 1.82145459220846E-4
16:	 3.214331633309047E-5
17:	 2.678609694424206E-5
18:	 5.3572193888484125E-6
19:	 5.3572193888484125E-6
20:	 0.0
